------------------------------------------------------------------------
-------- Предупреждение на joinThread(currentThread) -------------------
------------------------------------------------------------------------

using statement merging
Starting ExceptionHandler with pid 1
  1:	proc  0 (:init::1) mainThreads.pml:580 (state 1)	[(run ExceptionHandler())]
Starting GUIThread with pid 2
  2:	proc  0 (:init::1) mainThreads.pml:581 (state 2)	[(run GUIThread())]
  3:	proc  0 (:init::1) mainThreads.pml:53 (state 3)	[GUIThreadEvents!4]
  4:	proc  2 (GUIThread:1) mainThreads.pml:508 (state 1)	[GUIThreadEvents?signal]
  5:	proc  2 (GUIThread:1) mainThreads.pml:510 (state 2)	[((signal==runScript))]
              TrikGui started  5:	proc  2 (GUIThread:1) mainThreads.pml:511 (state 3)	[printf('TrikGui started')]
              
  5:	proc  2 (GUIThread:1) mainThreads.pml:511 (state 4)	[printf('\\n')]
Starting connectionThread with pid 3
  6:	proc  2 (GUIThread:1) mainThreads.pml:512 (state 5)	[(run connectionThread())]
Starting sensorsThread with pid 4
  7:	proc  2 (GUIThread:1) mainThreads.pml:513 (state 6)	[(run sensorsThread())]
              Starting TrikScriptRunner worker thread  8:	proc  2 (GUIThread:1) mainThreads.pml:516 (state 7)	[printf('Starting TrikScriptRunner worker thread')]
              
  8:	proc  2 (GUIThread:1) mainThreads.pml:516 (state 8)	[printf('\\n')]
Starting scriptWorkerThread with pid 5
  9:	proc  2 (GUIThread:1) mainThreads.pml:517 (state 9)	[(run scriptWorkerThread())]
              TrikScriptRunner: new script 10:	proc  2 (GUIThread:1) mainThreads.pml:519 (state 10)	[printf('TrikScriptRunner: new script')]
              
 10:	proc  2 (GUIThread:1) mainThreads.pml:519 (state 11)	[printf('\\n')]
 11:	proc  2 (GUIThread:1) mainThreads.pml:271 (state 12)	[(1)]
 12:	proc  2 (GUIThread:1) mainThreads.pml:272 (state 13)	[(1)]
 13:	proc  2 (GUIThread:1) mainThreads.pml:275 (state 16)	[((mState==0))]
 14:	proc  2 (GUIThread:1) mainThreads.pml:290 (state 108)	[(1)]
              ScriptEngineWorker: starting script 14:	proc  2 (GUIThread:1) mainThreads.pml:523 (state 110)	[printf('ScriptEngineWorker: starting script')]
              
 14:	proc  2 (GUIThread:1) mainThreads.pml:523 (state 111)	[printf('\\n')]
 15:	proc  2 (GUIThread:1) mainThreads.pml:524 (state 112)	[mState = 1]
 16:	proc  2 (GUIThread:1) mainThreads.pml:527 (state 113)	[threadId = 0]
 17:	proc  2 (GUIThread:1) mainThreads.pml:171 (state 114)	[assert((10>0))]
 17:	proc  2 (GUIThread:1) mainThreads.pml:173 (state 115)	[i = 0]
 18:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 18:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 18:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 19:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 19:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 19:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 20:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 20:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 20:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 21:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 21:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 21:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 22:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 22:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 22:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 23:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 23:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 23:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 24:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 24:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 24:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 25:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 25:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 25:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 26:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 26:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 26:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 27:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 116)	[((i<10))]
 27:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 117)	[abortEvaluationInvoked[i] = 0]
 27:	proc  2 (GUIThread:1) mainThreads.pml:174 (state 118)	[i = (i+1)]
 28:	proc  2 (GUIThread:1) mainThreads.pml:175 (state 119)	[((i==10))]
 29:	proc  2 (GUIThread:1) mainThreads.pml:53 (state 126)	[scriptWorkerThreadEvents!7]
 30:	proc  5 (scriptWorkerThread:1) mainThreads.pml:487 (state 1)	[scriptWorkerThreadEvents?signal]
 31:	proc  5 (scriptWorkerThread:1) mainThreads.pml:489 (state 2)	[((signal==INVOKEdoRun))]
 32:	proc  5 (scriptWorkerThread:1) mainThreads.pml:171 (state 3)	[assert((10>0))]
 32:	proc  5 (scriptWorkerThread:1) mainThreads.pml:173 (state 4)	[i = 0]
 33:	proc  5 (scriptWorkerThread:1) mainThreads.pml:174 (state 5)	[((i<10))]
 33:	proc  5 (scriptWorkerThread:1) mainThreads.pml:174 (state 6)	[mFinishedThreads[i] = 0]
 33:	proc  5 (scriptWorkerThread:1) mainThreads.pml:174 (state 7)	[i = (i+1)]
 34:	proc  5 (scriptWorkerThread:1) mainThreads.pml:174 (state 5)	[((i<10))]
 34:	proc  5 (scriptWorkerThread:1) mainThreads.pml:174 (state 6)	[mFinishedThreads[i] = 0]
 34:	proc  5 (scriptWorkerThread:1) mainThreads.pml:174 (state 7)	[i = (i+1)]
 35:	proc  5 (scriptWorkerThread:1) mainThreads.pml:174 (state 5)	[((i<10))]
 35:	proc  5 (scriptWorkerThread:1) mainThreads.pml:174 (state 6)	[mFinishedThreads[i] = 0]
